Portfolio,Ann.Return (CAGR),Ann.Vol,Sharpe,Sortino,p-HAC (vs BM)
Top 10,0.13888473500097653,0.3206638618693804,0.4331162675810036,0.7235566340940873,0.6271
Top 20,0.10917708289303762,0.24318799466709712,0.44894108791221954,0.7153326214223481,0.9837
Top 30,0.11081915721543001,0.22433344853678436,0.4939930177075613,0.727793369541195,0.9816
Top 40,0.1222501850183293,0.209409982563159,0.5837839415389765,0.9464988380743081,0.9220
Top 50,0.12639992361688535,0.2038584948002845,0.6200375595862044,1.0130638022421588,0.8802
Benchmark,0.139249086450576,0.1233776389628807,1.1286411996623655,1.828608793926004,—
