,Top 50 / Bench
2020-02-28,1.0
2020-03-31,1.017483120266008
2020-04-30,0.9941715974529683
2020-05-29,1.0552889288405967
2020-06-30,1.0664317995432795
2020-07-31,1.0998842046894963
2020-08-31,1.1850574710238226
2020-09-30,1.2097043713449798
2020-10-30,1.150486468397476
2020-11-30,1.1419678369475992
2020-12-31,1.1706045751114318
2021-01-29,1.2114911140257645
2021-02-26,1.2060355183578362
2021-03-31,1.192839580614554
2021-04-30,1.124354463489993
2021-05-31,1.1087777757048296
2021-06-30,1.1413478250872078
2021-07-30,1.1042061810977153
2021-08-31,1.0721249734594556
2021-09-30,1.066387958697234
2021-10-29,1.059146669375499
2021-11-30,1.09180306664355
2021-12-31,1.0048474581492077
2022-01-31,1.0333460408462867
2022-02-28,1.0907305535279614
2022-03-31,1.1351283542047501
2022-04-29,1.1389580368801053
2022-05-31,1.1294337799165688
2022-06-30,1.2054812712988991
2022-07-29,1.1035363326621679
2022-08-31,1.0874428902955773
2022-09-30,1.1145656079533304
2022-10-31,1.083687203680909
2022-11-30,1.2054093345021726
2022-12-30,1.2219183143154384
2023-01-31,1.203651334214312
2023-02-28,1.1865678926567669
2023-03-31,1.1463575912479989
2023-04-28,1.1477811472432122
2023-05-31,1.1682549842691994
2023-06-30,1.1129901067631343
2023-07-31,1.1545391904005655
2023-08-31,1.1556970007676444
2023-09-29,1.1497399863015278
2023-10-31,1.129305412513153
2023-11-30,1.1276996848825085
2023-12-29,1.2031961954857564
2024-01-31,1.1769996629436208
2024-02-29,1.2649588871642379
2024-03-29,1.3058620011444733
2024-04-30,1.3440616169202193
2024-05-31,1.3240244876730929
2024-06-28,1.3721217308547395
2024-07-31,1.3511165126251052
2024-08-30,1.355079150031286
2024-09-30,1.4022613208649566
2024-10-31,1.4609773607350665
2024-11-29,1.441868041760563
2024-12-31,1.4606857125114683
2025-01-31,1.482096992322342
2025-02-28,1.499600619248672
2025-03-31,1.4791057398573928
2025-04-30,1.44260205657179
2025-05-30,1.5168113119540463
2025-06-30,1.5236818656586462
2025-07-31,1.5781013786237124
2025-08-29,1.5301709165325326
2025-09-30,1.5384502775021365
