,top40_3m_ret
2019-05-31,-0.04895132439339158
2019-06-28,0.07789166273677664
2019-07-31,0.03554769122918135
2019-08-30,-0.02075551736579972
2019-09-30,-0.034892598410108645
2019-10-31,0.019878010513769917
2019-11-29,0.030727167904459025
2019-12-31,0.02563231770486818
2020-01-31,0.03181111993815964
2020-02-28,-0.04147961609276438
2020-03-31,-0.15214700377150503
2020-04-30,0.14890193486630762
2020-05-29,0.09533494415620505
2020-06-30,0.06638154257568385
2020-07-31,0.046722128327209476
2020-08-31,0.11221451190101583
2020-09-30,-0.03910969475197727
2020-10-30,-0.015595564206962642
2020-11-30,0.22112245548722664
2020-12-31,0.07179815586037039
2021-01-29,0.01593548534950417
2021-02-26,0.17275581226540246
2021-03-31,-0.0024289397215569645
2021-04-30,-0.012594206345388824
2021-05-31,0.054427812804619904
2021-06-30,-0.04567315627864811
2021-07-30,0.0037056271410302625
2021-08-31,0.05828006570152934
2021-09-30,-0.06044212824619371
2021-10-29,0.07924575434952795
2021-11-30,0.0035177194407540933
2021-12-31,0.020118881518562618
2022-01-31,0.008396225375194633
2022-02-28,-0.02771681139976757
2022-03-31,0.056444129903962574
2022-04-29,-0.0018632325897597558
2022-05-31,0.0887668517701825
2022-06-30,-0.10956870457720498
2022-07-29,0.022515539913813998
2022-08-31,0.028740227593403143
2022-09-30,-0.06673829261518655
2022-10-31,0.09026525724218072
2022-11-30,0.06454013516796346
2022-12-30,-0.021976256295549952
2023-01-31,0.0962162899811649
2023-02-28,-0.03225712666599092
2023-03-31,0.013301697149819342
2023-04-28,-0.00013374428025866164
2023-05-31,0.043282819728322076
2023-06-30,0.05124513862699256
2023-07-31,0.031001045347543
2023-08-31,-0.010717560630297836
2023-09-29,-0.06168998736871466
2023-10-31,-0.08018097823915063
2023-11-30,0.08677732576436752
2023-12-29,0.002447465855811806
2024-01-31,0.025455763488320383
2024-02-29,0.04234165271038883
2024-03-29,0.027051873949744662
2024-04-30,-0.04238265697827315
2024-05-31,0.040144286606785776
2024-06-28,-0.006269727615814397
2024-07-31,-0.026827934309018513
2024-08-30,-0.0042795415867086
2024-09-30,0.05519909398501328
2024-10-31,-0.0006279775653514393
2024-11-29,0.040327988296589116
2024-12-31,-0.0277668933381801
2025-01-31,0.058422151628059193
2025-02-28,-0.07311947278147911
2025-03-31,-0.10365557446067081
2025-04-30,0.0037042296252742996
2025-05-30,0.06553330704319572
2025-06-30,0.05097714263814285
2025-07-31,0.02577650531360064
2025-08-29,0.021637288639154508
2025-09-30,0.0976975434240238
