,Top 40 / Bench
2020-02-28,1.0
2020-03-31,1.0194729033426582
2020-04-30,0.9936431886088093
2020-05-29,1.05107002198699
2020-06-30,1.0703915517624876
2020-07-31,1.112459653204478
2020-08-31,1.1995522833431391
2020-09-30,1.2414683970249956
2020-10-30,1.1703129177954965
2020-11-30,1.1573980134713602
2020-12-31,1.1934596423437676
2021-01-29,1.2268581545715331
2021-02-26,1.2163589821593597
2021-03-31,1.2095560502358398
2021-04-30,1.1337346343885943
2021-05-31,1.0959175874430866
2021-06-30,1.120208676499396
2021-07-30,1.0819426745493694
2021-08-31,1.0515085950381782
2021-09-30,1.0389024187324494
2021-10-29,1.0438939055105256
2021-11-30,1.0793351844357033
2021-12-31,0.9859673962120057
2022-01-31,1.0221887498501716
2022-02-28,1.0629963563725502
2022-03-31,1.1249683620044644
2022-04-29,1.1290467872058487
2022-05-31,1.1035116174657225
2022-06-30,1.1906964823818336
2022-07-29,1.0835741194455135
2022-08-31,1.0623802539408869
2022-09-30,1.0836427065524277
2022-10-31,1.0453496276530554
2022-11-30,1.175486522447322
2022-12-30,1.1833734726535141
2023-01-31,1.153338032238266
2023-02-28,1.1360037779527161
2023-03-31,1.1035477945629806
2023-04-28,1.1220639515275652
2023-05-31,1.14187112424104
2023-06-30,1.093745839833361
2023-07-31,1.12714569538081
2023-08-31,1.138035672804888
2023-09-29,1.124761207949327
2023-10-31,1.0981499282550267
2023-11-30,1.103623353533383
2023-12-29,1.1956636963216831
2024-01-31,1.1681195966602589
2024-02-29,1.2531816894817036
2024-03-29,1.313998755329513
2024-04-30,1.3740956983325463
2024-05-31,1.35949958688985
2024-06-28,1.4083571606877292
2024-07-31,1.3937593413535507
2024-08-30,1.3991385572059212
2024-09-30,1.4539524661109449
2024-10-31,1.5330219316440545
2024-11-29,1.5110270860764776
2024-12-31,1.5511566788726603
2025-01-31,1.5836518394396597
2025-02-28,1.6025945695265784
2025-03-31,1.577152429467327
2025-04-30,1.544012056773823
2025-05-30,1.6117341396883607
2025-06-30,1.6075140274267545
2025-07-31,1.7024680650852895
2025-08-29,1.658038514657412
2025-09-30,1.6799562159465093
