,Top 10 / Bench
2020-02-28,1.0
2020-03-31,1.0479153115832653
2020-04-30,1.0706229530423068
2020-05-29,1.243689973301073
2020-06-30,1.3214031723647146
2020-07-31,1.4256574756904599
2020-08-31,1.5401254512071918
2020-09-30,1.7548654060661621
2020-10-30,1.6526748376511238
2020-11-30,1.6129454578462565
2020-12-31,1.7915586360567142
2021-01-29,1.8533266369538801
2021-02-26,1.9225434764773064
2021-03-31,1.9170697447718252
2021-04-30,1.7654682573261051
2021-05-31,1.8550743296832302
2021-06-30,1.8237709200411
2021-07-30,1.7861195036908513
2021-08-31,1.7979769312861955
2021-09-30,1.7615808438504406
2021-10-29,1.6358281158844212
2021-11-30,1.786252736082339
2021-12-31,1.8452840505778854
2022-01-31,1.8494241991963414
2022-02-28,1.9337841388446353
2022-03-31,2.094577169299771
2022-04-29,2.002549125967598
2022-05-31,2.0985013912923174
2022-06-30,2.4741693066972608
2022-07-29,2.1184407694912823
2022-08-31,2.159077890175204
2022-09-30,2.314982071802135
2022-10-31,2.1727298722905566
2022-11-30,2.445247760526678
2022-12-30,2.3654311646402975
2023-01-31,2.198345930842792
2023-02-28,2.216232957078293
2023-03-31,2.1147184497579326
2023-04-28,2.2650375651531407
2023-05-31,2.4024954348731153
2023-06-30,2.368150960885913
2023-07-31,2.4558970302866565
2023-08-31,2.5501220063592087
2023-09-29,2.471076652264992
2023-10-31,2.3328763036983693
2023-11-30,2.2850423979641126
2023-12-29,2.6630916563333265
2024-01-31,2.7970108717332502
2024-02-29,3.0663623037623107
2024-03-29,3.3618127449768633
2024-04-30,3.3373875917648377
2024-05-31,3.261411069938748
2024-06-28,3.6078229507165034
2024-07-31,3.6643835578916577
2024-08-30,3.6492146149854965
2024-09-30,3.81161904946655
2024-10-31,4.153376384531216
2024-11-29,4.134334793825171
2024-12-31,4.327952699451563
2025-01-31,4.085567388306757
2025-02-28,4.001606292651854
2025-03-31,3.8107294992383207
2025-04-30,3.648301210694167
2025-05-30,3.800045675328655
2025-06-30,3.551204831938321
2025-07-31,3.765490492851247
2025-08-29,4.0202919136253845
2025-09-30,4.244115640965587
