,Top 20 / Bench
2020-02-28,1.0
2020-03-31,1.024554215752033
2020-04-30,0.9839745124171045
2020-05-29,1.0697667635756085
2020-06-30,1.1086202280800548
2020-07-31,1.1836569997805437
2020-08-31,1.3263291689046741
2020-09-30,1.4375380695297113
2020-10-30,1.3383737581843824
2020-11-30,1.3186315586522022
2020-12-31,1.3666140435770617
2021-01-29,1.4160511584303828
2021-02-26,1.411887846039443
2021-03-31,1.3925593543382602
2021-04-30,1.2911832419531344
2021-05-31,1.3137524232271438
2021-06-30,1.3269127033615546
2021-07-30,1.2607076965787505
2021-08-31,1.2633473145813359
2021-09-30,1.2870263441456247
2021-10-29,1.2414711425024403
2021-11-30,1.2969257804528034
2021-12-31,1.1770488883850145
2022-01-31,1.1910545373450547
2022-02-28,1.1776379889822752
2022-03-31,1.2633540398332324
2022-04-29,1.2599822045023497
2022-05-31,1.2913226235579984
2022-06-30,1.44540860231138
2022-07-29,1.27022167807387
2022-08-31,1.2633645826686644
2022-09-30,1.3337335558197503
2022-10-31,1.2524134929476156
2022-11-30,1.4319964797711635
2022-12-30,1.4243786799150873
2023-01-31,1.36294365359954
2023-02-28,1.38509903962173
2023-03-31,1.3035703537832515
2023-04-28,1.311014923526388
2023-05-31,1.2811227271387609
2023-06-30,1.2397459141066611
2023-07-31,1.2812524603328184
2023-08-31,1.309156859668077
2023-09-29,1.2573532954983502
2023-10-31,1.1994989121488762
2023-11-30,1.2084326207198421
2023-12-29,1.2921488651375899
2024-01-31,1.3050434672278626
2024-02-29,1.380079279817305
2024-03-29,1.4272223773333323
2024-04-30,1.4636242439022304
2024-05-31,1.4352805787200764
2024-06-28,1.508779527816055
2024-07-31,1.500647986037447
2024-08-30,1.5239224678822902
2024-09-30,1.594905403547142
2024-10-31,1.666559511608938
2024-11-29,1.6490238691304704
2024-12-31,1.6756093150782905
2025-01-31,1.6250071224760652
2025-02-28,1.6389419287434837
2025-03-31,1.5839672586127247
2025-04-30,1.5479356183480248
2025-05-30,1.613570783356179
2025-06-30,1.5564788831141456
2025-07-31,1.673224147139083
2025-08-29,1.7271337397751667
2025-09-30,1.717482673828439
