,Top 30 / Bench
2020-02-28,1.0
2020-03-31,1.015293778417179
2020-04-30,1.0028614632110362
2020-05-29,1.080458657964724
2020-06-30,1.1074806308808718
2020-07-31,1.1429289222934502
2020-08-31,1.2681391043808032
2020-09-30,1.3176825816917506
2020-10-30,1.245852180038131
2020-11-30,1.2421560498572188
2020-12-31,1.3215244926262004
2021-01-29,1.351502302826694
2021-02-26,1.346884930141618
2021-03-31,1.3602522623705064
2021-04-30,1.276233349860777
2021-05-31,1.2622221906728217
2021-06-30,1.3117484459029558
2021-07-30,1.286159539917897
2021-08-31,1.2561259793206607
2021-09-30,1.2656729216948561
2021-10-29,1.236329181518819
2021-11-30,1.2643618195098827
2021-12-31,1.1862746671040671
2022-01-31,1.2285894501513455
2022-02-28,1.188615217980768
2022-03-31,1.2563831921399988
2022-04-29,1.2627673754056463
2022-05-31,1.229995716801056
2022-06-30,1.326259175032276
2022-07-29,1.1898266759905116
2022-08-31,1.1540422066894558
2022-09-30,1.18135027618142
2022-10-31,1.1366639225728987
2022-11-30,1.3061385866091753
2022-12-30,1.3001609609678833
2023-01-31,1.254927128344375
2023-02-28,1.2509794220581691
2023-03-31,1.2000574133807198
2023-04-28,1.221801955195527
2023-05-31,1.219985513911852
2023-06-30,1.1533579629847077
2023-07-31,1.2066139572306296
2023-08-31,1.2211624227588722
2023-09-29,1.188860837021958
2023-10-31,1.1382689498951846
2023-11-30,1.146686029928248
2023-12-29,1.2587033962427439
2024-01-31,1.2544058923437613
2024-02-29,1.3303553729147786
2024-03-29,1.4137594263589983
2024-04-30,1.4762035809290857
2024-05-31,1.4431816263877801
2024-06-28,1.502942010429043
2024-07-31,1.4949053192289894
2024-08-30,1.51133055146116
2024-09-30,1.588198416624842
2024-10-31,1.6654619148004008
2024-11-29,1.6427154876124295
2024-12-31,1.6845448830030785
2025-01-31,1.7194110888289231
2025-02-28,1.7401522723409117
2025-03-31,1.7086275596538234
2025-04-30,1.680951288940197
2025-05-30,1.7589100501227397
2025-06-30,1.7525417975361872
2025-07-31,1.8631849957428432
2025-08-29,1.8509894637874194
2025-09-30,1.8766533828654812
