,top50_3m_ret
2019-05-31,-0.05552487545683778
2019-06-28,0.07755748614118525
2019-07-31,0.02941195499660783
2019-08-30,-0.012501480741411575
2019-09-30,-0.02990781971307725
2019-10-31,0.028265842027498437
2019-11-29,0.028834989074832073
2019-12-31,0.029857658601630636
2020-01-31,0.009399748723065872
2020-02-28,-0.05386629200133194
2020-03-31,-0.14328784715839296
2020-04-30,0.13711423500146647
2020-05-29,0.07961269252446858
2020-06-30,0.049559730510117
2020-07-31,0.04711972493528388
2020-08-31,0.10132225564385626
2020-09-30,-0.024449230802764562
2020-10-30,-0.008669053762454079
2020-11-30,0.18417158089860672
2020-12-31,0.037803619217121415
2021-01-29,0.009021652705946497
2021-02-26,0.17024520338233726
2021-03-31,-0.016621808975561245
2021-04-30,0.002057535601239258
2021-05-31,0.04668539288327136
2021-06-30,-0.05413480518577539
2021-07-30,0.00074607953462528
2021-08-31,0.039808570492240174
2021-09-30,-0.05758980671889863
2021-10-29,0.06826281981061147
2021-11-30,-0.007011725512661769
2021-12-31,0.021035331748861137
2022-01-31,0.0014727233618578607
2022-02-28,-0.024791237296876056
2022-03-31,0.059024528991355386
2022-04-29,-0.0011499991005716591
2022-05-31,0.09112730857012859
2022-06-30,-0.10822309053113648
2022-07-29,0.023769885650704384
2022-08-31,0.03216730089313938
2022-09-30,-0.07126409142289176
2022-10-31,0.05328535514375065
2022-11-30,0.045919646065736876
2022-12-30,-0.027828831745093652
2023-01-31,0.09101582438992814
2023-02-28,-0.028086109757573648
2023-03-31,0.01931216336908119
2023-04-28,0.0022702161815306215
2023-05-31,0.02913977535259861
2023-06-30,0.04488270247865497
2023-07-31,0.031976596778225404
2023-08-31,-0.015205889338375644
2023-09-29,-0.056432665843713196
2023-10-31,-0.08155856958242011
2023-11-30,0.06852542783860728
2023-12-29,-0.002272091181710935
2024-01-31,0.02150263038964983
2024-02-29,0.0398218193747365
2024-03-29,0.03874357923031042
2024-04-30,-0.045618197595103806
2024-05-31,0.035995958971301846
2024-06-28,-0.0067804770085242265
2024-07-31,-0.0020245484483182004
2024-08-30,-0.00732771346732145
2024-09-30,0.04692192337222296
2024-10-31,-0.013549903256840044
2024-11-29,0.028230702290060073
2024-12-31,-0.02704720517922527
2025-01-31,0.04145094698953233
2025-02-28,-0.06824063142238508
2025-03-31,-0.10084369541752765
2025-04-30,0.002879005236878142
2025-05-30,0.0550693738415982
2025-06-30,0.04767032293454235
2025-07-31,0.024948176777672967
2025-08-29,0.025206174501952488
2025-09-30,0.07938267611078344
