NR;SYMBOL;ISIN;Company Common Name; Company Market Capitalization ;TRBC Economic Sector Name;TRBC Economic Sector Code;Country ISO Code of Headquarters;Ccy
779;ATOS.PA;FR001400X2S4;Atos SE; 6’491’149’196.58 ;Technology;57;FR;EUR
780;9042.T;JP3774200004;Hankyu Hanshin Holdings Inc; 8’417’622’485.49 ;Industrials;52;JP;JPY
781;SIRI.OQ;US8299331004;Sirius XM Holdings Inc; 24’081’052’322.26 ;Consumer Cyclicals;53;US;USD
782;ITRK.L;GB0031638363;Intertek Group PLC; 9’882’724’519.06 ;Industrials;52;GB;GBp
783;TEPRF.PA;FR0000051807;Teleperformance SE; 9’250’949’628.41 ;Industrials;52;FR;EUR
784;GALP.LS;PTGAL0AM0009;Galp Energia SGPS SA; 12’201’011’118.22 ;Energy;50;PT;EUR
785;ADEN.S;CH0012138605;Adecco Group AG; 7’774’446’018.81 ;Industrials;52;CH;CHF
786;6586.T;JP3862400003;Makita Corp; 9’917’181’349.54 ;Industrials;52;JP;JPY
787;BCE.TO;CA05534B7604;BCE Inc; 35’515’735’840.55 ;Technology;57;CA;CAD
788;FTI.N;GB00BDSFG982;TechnipFMC PLC; 6’957’090’730.12 ;Energy;50;GB;USD
789;III.L;GB00B1YW4409;3i Group PLC; 9’599’594’122.40 ;Financials;55;GB;GBp
790;SKFb.ST;SE0000108227;SKF AB; 6’827’491’668.78 ;Industrials;52;SE;SEK
791;YAR.OL;NO0010208051;Yara International ASA; 9’967’707’682.54 ;Basic Materials;51;NO;NOK
792;GMAB.CO;DK0010272202;Genmab A/S; 10’061’251’060.17 ;Healthcare;56;DK;DKK
793;TSCO.OQ;US8923561067;Tractor Supply Co; 10’185’358’425.76 ;Consumer Cyclicals;53;US;USD
794;STMPA.PA;NL0000226223;STMicroelectronics NV; 13’046’832’445.87 ;Technology;57;NL;EUR
795;TRU.N;US89400J1079;TransUnion; 10’525’040’000.00 ;Industrials;52;US;USD
796;DVA.N;US23918K1088;DaVita Inc; 8’542’360’000.00 ;Healthcare;56;US;USD
797;BNZL.L;GB00B0744B38;Bunzl plc; 10’167’264’698.37 ;Industrials;52;GB;GBp
798;BRBY.L;GB0031743007;Burberry Group PLC; 9’108’004’647.84 ;Consumer Cyclicals;53;GB;GBp
799;9501.T;JP3585800000;Tokyo Electric Power Company Holdings Inc; 9’517’344’891.56 ;Utilities;59;JP;JPY
800;LEA.N;US5218652049;Lear Corp; 7’884’401’422.48 ;Consumer Cyclicals;53;US;USD
801;HAS.OQ;US4180561072;Hasbro Inc; 10’278’732’587.50 ;Consumer Cyclicals;53;US;USD
802;URI.N;US9113631090;United Rentals Inc; 8’315’451’833.66 ;Industrials;52;US;USD
803;WRT1V.HE;FI0009003727;Wartsila Oyj Abp; 9’402’692’615.82 ;Industrials;52;FI;EUR
804;NVR.N;US62944T1051;NVR Inc; 8’719’138’368.69 ;Consumer Cyclicals;53;US;USD
805;REG.OQ;US7588491032;Regency Centers Corp; 9’942’922’633.68 ;Real Estate;60;US;USD
806;EG.N;BMG3223R1088;Everest Group Ltd; 8’851’508’044.48 ;Financials;55;BM;USD
807;HII.N;US4464131063;Huntington Ingalls Industries Inc; 8’174’631’310.52 ;Industrials;52;US;USD
808;0017.HK;HK0000608585;New World Development Co Ltd; 12’139’398’303.33 ;Real Estate;60;HK;HKD
809;MOWI.OL;NO0003054108;Mowi ASA; 10’822’404’226.70 ;Consumer Non-Cyclicals;54;NO;NOK
810;OTEX.TO;CA6837151068;Open Text Corp; 8’762’124’628.95 ;Technology;57;CA;CAD
811;RGA.N;US7593516047;Reinsurance Group of America Inc; 8’802’892’675.25 ;Financials;55;US;USD
812;UHR.S;CH0012255151;Swatch Group AG; 16’144’278’020.53 ;Consumer Cyclicals;53;CH;CHF
813;MDBI.MI;IT0000062957;Mediobanca Banca di Credito Finanziario SpA; 7’482’392’787.80 ;Financials;55;IT;EUR
814;SPR.N;US8485741099;Spirit AeroSystems Holdings Inc; 7’602’742’387.53 ;Industrials;52;US;USD
815;6762.T;JP3538800008;TDK Corp; 9’073’452’630.51 ;Technology;57;JP;JPY
816;QBE.AX;AU000000QBE9;QBE Insurance Group Ltd; 9’459’518’094.23 ;Financials;55;AU;AUD
817;CTCa.TO;CA1366812024;Canadian Tire Corporation Ltd; 6’846’401’947.03 ;Consumer Cyclicals;53;CA;CAD
818;SY1G.DE;DE000SYM9999;Symrise AG; 9’575’278’779.32 ;Basic Materials;51;DE;EUR
819;NTGY.MC;ES0116870314;Naturgy Energy Group SA; 25’547’463’908.00 ;Utilities;59;ES;EUR
820;CVE.TO;CA15135U1093;Cenovus Energy Inc; 8’650’277’920.36 ;Energy;50;CA;CAD
821;CAG.N;US2058871029;Conagra Brands Inc; 10’373’312’820.96 ;Consumer Non-Cyclicals;54;US;USD
822;MTN.N;US91879Q1094;Vail Resorts Inc; 8’506’402’110.86 ;Consumer Cyclicals;53;US;USD
823;RAND.AS;NL0000379121;Randstad NV; 8’428’032’392.75 ;Industrials;52;NL;EUR
824;LII.N;US5261071071;Lennox International Inc; 8’723’310’718.14 ;Industrials;52;US;USD
825;AGES.BR;BE0974264930;Ageas SA; 9’150’807’896.02 ;Financials;55;BE;EUR
826;IMO.TO;CA4530384086;Imperial Oil Ltd; 19’919’002’143.22 ;Energy;50;CA;CAD
827;QRVO.OQ;US74736K1016;Qorvo Inc; 7’585’482’654.09 ;Technology;57;US;USD
828;CPU.AX;AU000000CPU5;Computershare Ltd; 6’579’126’043.05 ;Industrials;52;AU;AUD
829;EXHO.PA;FR0000121220;Sodexo SA; 10’458’669’611.47 ;Consumer Cyclicals;53;FR;EUR
830;TRGP.N;US87612G1013;Targa Resources Corp; 8’258’789’688.90 ;Energy;50;US;USD
831;NWL.OQ;US6512291062;Newell Brands Inc; 8’677’812’000.00 ;Consumer Cyclicals;53;US;USD
832;TKAG.DE;DE0007500001;thyssenkrupp AG; 10’664’690’690.14 ;Basic Materials;51;DE;EUR
833;7259.T;JP3102000001;Aisin Corp; 10’209’105’534.40 ;Consumer Cyclicals;53;JP;JPY
834;ZION.OQ;US9897011071;Zions Bancorporation NA; 7’829’621’340.66 ;Financials;55;US;USD
835;SESFg.LU;LU0088087324;SES SA; 8’818’574’863.75 ;Technology;57;LU;EUR
836;6645.T;JP3197800000;Omron Corp; 7’761’950’734.63 ;Industrials;52;JP;JPY
837;GRLS.MC;ES0171996087;Grifols SA; 16’031’027’674.10 ;Healthcare;56;ES;EUR
